	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
1012	MA	2015.0	3	Operations and Algebraic Thinking	OA.4	0.78	0	Which of these equations is true when q = 8 ?	2 x q = 4	2 x q = 16	6 / q = 2	12 / q = 4		Which of these equations is true when q = 8 ? 2 x q = 4 2 x q = 16 6 / q = 2 12 / q = 4
1013	MA	2015.0	3	Measurement and Data	MD.3	0.82	1	The graph below shows the numbers of laps four children ran in gym class. What is the total number of laps the four children ran in gym class?	21	16	11	9		The graph below shows the numbers of laps four children ran in gym class. What is the total number of laps the four children ran in gym class? 21 16 11 9
1014	MA	2015.0	3	Operations and Algebraic Thinking	OA.1	0.85	1	Ms. Garcia wrote the sentence shown in the box below. There are 8 students, and each student has 4 books. Which of these can be used to find the total number of books?	8 x 4	8 - 4	8 /4	8 + 4		Ms. Garcia wrote the sentence shown in the box below. There are 8 students, and each student has 4 books. Which of these can be used to find the total number of books? 8 x 4 8 - 4 8 /4 8 + 4
1015	MA	2015.0	3	Measurement and Data	MD.1	0.8	1	The chart below shows the number of minutes for each field day activity. Which two activities take a total of exactly one hour?	Races and Egg Toss	Egg Toss and Kickball	Races and Tag	Tag and Kickball		The chart below shows the number of minutes for each field day activity. Which two activities take a total of exactly one hour? Races and Egg Toss Egg Toss and Kickball Races and Tag Tag and Kickball
1016	MA	2015.0	3	Measurement and Data	MD.6	0.86	1	Hannah drew the shape shown below. What is the area of the shape Hannah drew?	5 square inches	6 square inches	10 square inches	12 square inches		Hannah drew the shape shown below. What is the area of the shape Hannah drew? 5 square inches 6 square inches 10 square inches 12 square inches
1017	MA	2015.0	3	Measurement and Data	MD.7	0.33	1	Toni drew a diagram of the deck she is building, as shown below. What is the area of the deck Toni is building?	24 square meters	40 square meters	64 square meters	80 square meters		Toni drew a diagram of the deck she is building, as shown below. What is the area of the deck Toni is building? 24 square meters 40 square meters 64 square meters 80 square meters
1088	MA	2016.0	3	Operations and Algebraic Thinking	OA.5	0.45	0	Jody  wrote  the  expression  shown  below. (2 x 3 )  +   (2  x  5) Which  of  these  is  another  way  to  write  Jody’s  expression?	2 x 8	4 x 8	4 x 15	6 x 10		Jody  wrote  the  expression  shown  below. (2 x 3 )  +   (2  x  5) Which  of  these  is  another  way  to  write  Jody’s  expression? 2 x 8 4 x 8 4 x 15 6 x 10
1089	MA	2016.0	3	Number and Operations in Base Ten	NBT.1	0.77	0	What is 946 rounded to the nearest hundred?	800	900	950	1000		What is 946 rounded to the nearest hundred? 800 900 950 1000
1090	MA	2016.0	3	Number and Operations in Base Ten	NBT.3	0.91	0	April,  June,  September,  and  November  each  have  30  days.  How  many  days  are  in  the  4  months  altogether?	34	70	120	136		April,  June,  September,  and  November  each  have  30  days.  How  many  days  are  in  the  4  months  altogether? 34 70 120 136
1091	MA	2016.0	3	Operations and Algebraic Thinking	OA.9	0.56	0	In  which  of  these  patterns  is  the  next  number  an  odd  number?	2,4,6,8,  .  .  .	7,12,17,22,  .  .  .	18,15,12,9,  .  .  .	24,20,16,12,  .  .  .		In  which  of  these  patterns  is  the  next  number  an  odd  number? 2,4,6,8,  .  .  . 7,12,17,22,  .  .  . 18,15,12,9,  .  .  . 24,20,16,12,  .  .  .
1092	MA	2016.0	3	Operations and Algebraic Thinking	OA.6	0.52	0	Ryan  put  24  books  on  shelves.  He  put  8  books  on  each  shelf.  Which  equation  can  be  used  to  find  s, the  number  of  shelves  Ryan  put  books  on?	8 x 24 = s	8 / 4 = s	s x 8 = 24	s / 8 = 24		Ryan  put  24  books  on  shelves.  He  put  8  books  on  each  shelf.  Which  equation  can  be  used  to  find  s, the  number  of  shelves  Ryan  put  books  on? 8 x 24 = s 8 / 4 = s s x 8 = 24 s / 8 = 24
1093	MA	2016.0	3	Operations and Algebraic Thinking	OA.8	0.84	0	A  pet  store  has  5  fish  tanks  with  10  fish  in  each  tank.  A  shopper  buys  8  fish  and  takes  them  home. After  the  shopper  leaves  the  store,  what  is  the  total  number  of  fish  left  in  the  pet  store’s  tanks?	23	42	50	58		A  pet  store  has  5  fish  tanks  with  10  fish  in  each  tank.  A  shopper  buys  8  fish  and  takes  them  home. After  the  shopper  leaves  the  store,  what  is  the  total  number  of  fish  left  in  the  pet  store’s  tanks? 23 42 50 58
1094	MA	2016.0	3	Measurement and Data	MD.2	0.88	1	Ms.  Hanson  poured  water  into  a  jug,  as  shown  below. Which  of  these  is  closest  to  the  amount  of  water  in  the  jug?	2 liters	2 1/2 liters	3 liters	3 1/2 liters		Ms.  Hanson  poured  water  into  a  jug,  as  shown  below. Which  of  these  is  closest  to  the  amount  of  water  in  the  jug? 2 liters 2 1/2 liters 3 liters 3 1/2 liters
1095	MA	2016.0	3	Number and Operations - Fractions	NF.3	0.74	1	Chas  drew  a  number  line  to  show  equal  fractions,  as  shown  below. Chas  will  write  a  fraction  equal  to  1/2  to  replace  the  star.  Which  of  these  fractions  should  he  write  to  replace  the  star?	1 / 6	2 / 6	3 / 6	4 / 6		Chas  drew  a  number  line  to  show  equal  fractions,  as  shown  below. Chas  will  write  a  fraction  equal  to  1/2  to  replace  the  star.  Which  of  these  fractions  should  he  write  to  replace  the  star?  1 / 6  2 / 6  3 / 6  4 / 6
1096	MA	2016.0	3	Geometry	G.2	0.79	1	Anjani  used  the  shapes  labeled  T  to  cover  the  figure  shown  below  without  any  gaps  or  overlaps. What  fraction  of  the  figure  does  one  of  the  shapes  labeled  T  cover?	1 / 3	1 / 2	2 / 3	3 / 1		Anjani  used  the  shapes  labeled  T  to  cover  the  figure  shown  below  without  any  gaps  or  overlaps. What  fraction  of  the  figure  does  one  of  the  shapes  labeled  T  cover?  1 / 3  1 / 2  2 / 3  3 / 1
1097	MA	2016.0	3	Measurement and Data	MD.8	0.8	1	A  rectangle  is  shown  below. What  is  the  perimeter,  in  centimeters,  of  the  rectangle?	8 centimeters	10 centimeters	15 centimeters	16 centimeters		A  rectangle  is  shown  below. What  is  the  perimeter,  in  centimeters,  of  the  rectangle? 8 centimeters 10 centimeters 15 centimeters 16 centimeters
1098	MA	2016.0	3	Measurement and Data	MD.7	0.88	1	Amy’s  house  has  a  porch  that  is  covered  with  1-square-foot  tiles.  The  porch  is  in  the  shape  of  a  rectangle,  as  shown  below. Amy  counted  the  tiles  to  find  the  area  of  the  porch. Which  of  these  is  another  way  Amy  could  find  the  area,  in  square  feet,  of  the  porch?	(4 + 3) + (4 + 3)	(4 x 3) + (4 x 3)	4 + 3	4 x 3		Amy’s  house  has  a  porch  that  is  covered  with  1-square-foot  tiles.  The  porch  is  in  the  shape  of  a  rectangle,  as  shown  below. Amy  counted  the  tiles  to  find  the  area  of  the  porch. Which  of  these  is  another  way  Amy  could  find  the  area,  in  square  feet,  of  the  porch? (4 + 3) + (4 + 3) (4 x 3) + (4 x 3) 4 + 3 4 x 3
1099	MA	2016.0	3	Measurement and Data	MD.4	0.46	1	Each  student  in  a  third-grade  class  made  a  paper  snowflake  and  measured  its  length.  The  line  plot  below  shows  the  length,  in  inches,  of  each  paper  snowflake. What  is  the  length,  in  inches,  of  the  longest  paper  snowflake?	3 1/2	4	4 1/2	5		Each  student  in  a  third-grade  class  made  a  paper  snowflake  and  measured  its  length.  The  line  plot  below  shows  the  length,  in  inches,  of  each  paper  snowflake. What  is  the  length,  in  inches,  of  the  longest  paper  snowflake? 3 1/2 4 4 1/2 5
1175	MA	2017.0	3	Operations and Algebraic Thinking	3.OA.2.05	0.33	0	Laroy wrote the number sentence shown. 8 × (3 + 2) = ? Which of these shows another way to solve Laroy’s number sentence?	(8 x 3) + 2 = ?	(8 x 3) x (8 x 2) = ?	(8 x 3) + (8 x 2) = ?	(8 + 3) x (8 + 2) = ?		Laroy wrote the number sentence shown. 8 × (3 + 2) = ? Which of these shows another way to solve Laroy’s number sentence? (8 x 3) + 2 = ? (8 x 3) x (8 x 2) = ? (8 x 3) + (8 x 2) = ? (8 + 3) x (8 + 2) = ?
1176	MA	2017.0	3	Number and Operations - Fractions	3.NF.1.03	0.67	0	Four friends used chocolate to make candy. • Mari used 1/2 pound of chocolate. • Lois used 1/6 pound of chocolate. • Carolina used 1/3 pound of chocolate. • Evelyn used 1/4 pound of chocolate. Who used the greatest amount of chocolate?	Mari	Lois	Carolina	Evelyn		Four friends used chocolate to make candy. • Mari used 1/2 pound of chocolate. • Lois used 1/6 pound of chocolate. • Carolina used 1/3 pound of chocolate. • Evelyn used 1/4 pound of chocolate. Who used the greatest amount of chocolate? Mari Lois Carolina Evelyn
1177	MA	2017.0	3	Geometry	3.G.1.01	0.49	1	A shape and its side lengths are shown. Which statement about the shape is true?	The shape is a rhombus and a square.	The shape is a rectangle and a square.	The shape is a rhombus and a parallelogram.	The shape is a rectangle and a parallelogram.		A shape and its side lengths are shown. Which statement about the shape is true? The shape is a rhombus and a square. The shape is a rectangle and a square. The shape is a rhombus and a parallelogram. The shape is a rectangle and a parallelogram.
1190	MA	2018.0	3	Operations and Algebraic Thinking	3.OA.C.07	0.84	0	Deron bought some packs of baseball cards. Each pack had 5 baseball cards. He bought 30 baseball cards in all. What is the total number of packs of baseball cards Deron bought?	8	7	6	5		Deron bought some packs of baseball cards. Each pack had 5 baseball cards. He bought 30 baseball cards in all. What is the total number of packs of baseball cards Deron bought? 8 7 6 5
1191	MA	2018.0	3	Operations and Algebraic Thinking	3.OA.D.09	0.69	0	Camila counted by 8s starting at 0. Which of these statements is true?	All of the numbers Camila counted were odd.	All of the numbers Camila counted were even.	All of the numbers Camila counted ended in 2, 4, or 8.	Some of the numbers Camila counted were even, and some were odd.		Camila counted by 8s starting at 0. Which of these statements is true? All of the numbers Camila counted were odd. All of the numbers Camila counted were even. All of the numbers Camila counted ended in 2, 4, or 8. Some of the numbers Camila counted were even, and some were odd.
1192	MA	2018.0	3	Operations and Algebraic Thinking	3.OA.B.06	0.44	0	Alyssa is solving this equation. 56 ÷ 7 = n Which of these could Alyssa use to find the value of n?	7 ÷ 56 = n	7 × 56 = n	n ÷ 7 = 56	n × 7 = 56		Alyssa is solving this equation. 56 ÷ 7 = n Which of these could Alyssa use to find the value of n? 7 ÷ 56 = n 7 × 56 = n n ÷ 7 = 56 n × 7 = 56
1193	MA	2018.0	3	Operations and Algebraic Thinking	3.OA.A.02	0.46	0	A student used the expression shown to solve a problem. 45 ÷ 9 Which of these could be the problem the student solved?	Owen had 45 seeds. He gave 9 seeds to Beth. How many seeds does Owen have now?	Owen had 45 seeds. Beth gave him 9 more seeds. How many seeds does Owen have now?	Owen put 45 seeds into each pot. He had 9 pots. How many seeds in all did Owen put into pots?	Owen had 45 seeds to put into pots. He put 9 seeds into each pot. How many pots did Owen put seeds into?		A student used the expression shown to solve a problem. 45 ÷ 9 Which of these could be the problem the student solved? Owen had 45 seeds. He gave 9 seeds to Beth. How many seeds does Owen have now? Owen had 45 seeds. Beth gave him 9 more seeds. How many seeds does Owen have now? Owen put 45 seeds into each pot. He had 9 pots. How many seeds in all did Owen put into pots? Owen had 45 seeds to put into pots. He put 9 seeds into each pot. How many pots did Owen put seeds into?
1194	MA	2018.0	3	Number and Operations in Base Ten	3.NBT.A.03	0.76	0	Ms. Jeffers has 6 boxes of pencils. Each box contains 30 pencils. How many pencils does Ms. Jeffers have altogether?	36	90	126	180		Ms. Jeffers has 6 boxes of pencils. Each box contains 30 pencils. How many pencils does Ms. Jeffers have altogether? 36 90 126 180
1195	MA	2018.0	3	Operations and Algebraic Thinking	3.OA.B.05	0.31	0	Which of these is equal to this expression? 9 × 8	(5 × 8) + (4 × 8)	(5 + 8) × (4 + 8)	(5 × 8) × (4 × 8)	(5 + 8) + (4 + 8)		Which of these is equal to this expression? 9 × 8 (5 × 8) + (4 × 8) (5 + 8) × (4 + 8) (5 × 8) × (4 × 8) (5 + 8) + (4 + 8)
1196	MA	2018.0	3	Number and Operations - Fractions	3.NF.A.02	0.78	1	Point Q is shown on this number line. Which fraction best names point Q on the number line?	1 / 4	1 / 3	3 / 4	4 / 4		Point Q is shown on this number line. Which fraction best names point Q on the number line?   1 / 4  1 / 3  3 / 4  4 / 4
1197	MA	2018.0	3	Measurement and Data	3.MD.B.03	0.67	1	The bar graph shows the number of children who brought lunch from home each day for four days.  How many more children brought lunch from home on Monday than brought lunch from home on Thursday?	12	18	22	34		The bar graph shows the number of children who brought lunch from home each day for four days.  How many more children brought lunch from home on Monday than brought lunch from home on Thursday? 12 18 22 34
1198	MA	2018.0	3	Number and Operations - Fractions	3.NF.A.03	0.46	1	This model shows that 4/6 of the figure is shaded. Which of these fractions is equal to 4/6?	2 / 3	3 / 4	6 / 4	2 / 6		This model shows that 4/6 of the figure is shaded. Which of these fractions is equal to 4/6?  2 / 3  3 / 4   6 / 4  2 / 6
1199	MA	2018.0	3	Measurement and Data	3.MD.A.02	0.72	1	This scale shows the mass, in grams, of 100 paper clips. Based on the mass of 100 paper clips, which of these is closest to the mass of 10 paper clips?	1 gram	10 grams	100 grams	1000 grams		This scale shows the mass, in grams, of 100 paper clips. Based on the mass of 100 paper clips, which of these is closest to the mass of 10 paper clips? 1 gram 10 grams 100 grams 1000 grams
1253	MA	2019.0	3	Operations and Algebraic Thinking	3.OA.D.8	0.77	0	Harry bought 2 books. Each book cost $4. He paid with a $20 bill. How much change should Harry get back?	6	8	12	14		Harry bought 2 books. Each book cost $4. He paid with a $20 bill. How much change should Harry get back?  6 8 12 14
1254	MA	2019.0	3	Number and Operations in Base Ten	3.NBT.A.1	0.77	0	Which number rounds to 90 when rounded to the nearest 10?	84	97	85	96		Which number rounds to 90 when rounded to the nearest 10? 84 97 85 96
1255	MA	2019.0	3	Operations and Algebraic Thinking	3.OA.B.5	0.56	0	Sergio and Tameka want to find the solution to this equation. 6 × 15 = ? Which of the following expressions can Sergio use to help him find the solution to the equation?	(2 + 15) + (4 + 15)	(6 × 5) + (6 × 10)	(6 × 5) + (6 × 7)	(6 × 6) + (6 × 7)		Sergio and Tameka want to find the solution to this equation. 6 × 15 = ? Which of the following expressions can Sergio use to help him find the solution to the equation? (2 + 15) + (4 + 15) (6 × 5) + (6 × 10)  (6 × 5) + (6 × 7) (6 × 6) + (6 × 7)
1256	MA	2019.0	3	Operations and Algebraic Thinking	3.OA.B.6	0.71	0	A division equation is shown. 16 ÷ 2 = g Which of these can also be used to find the value of g?	g × 2 = 16	2 ÷ 16 = g	g ÷ 2 = 16	16 × 2 = g		A division equation is shown. 16 ÷ 2 = g Which of these can also be used to find the value of g? g × 2 = 16 2 ÷ 16 = g g ÷ 2 = 16 16 × 2 = g
1257	MA	2019.0	3	Operations and Algebraic Thinking	3.OA.A.4	0.81	0	Jessica has 3 vases. She wants to put the same number of flowers in each vase. She has 27 flowers altogether. Jessica wrote this number sentence to find out how many flowers to put in each vase. 3 × ? = 27 What is the missing number that makes Jessica’s number sentence true?	6	7	8	9		Jessica has 3 vases. She wants to put the same number of flowers in each vase. She has 27 flowers altogether. Jessica wrote this number sentence to find out how many flowers to put in each vase. 3 × ? = 27 What is the missing number that makes Jessica’s number sentence true? 6 7 8 9
1258	MA	2019.0	3	Number and Operations - Fractions	3.NF.A.1	0.88	1	This shape is divided into equal parts. Which of these fractions represents the part of the shape that is shaded?	4 / 6	6 / 4	2 / 4	4 / 2		This shape is divided into equal parts. Which of these fractions represents the part of the shape that is shaded?  4 / 6  6 / 4  2 / 4  4 / 2
1259	MA	2019.0	3	Number and Operations - Fractions	3.NF.A.2	0.6	1	Point V is labeled on this number line. Which fraction shows where point V is on the number line?	8 / 8	7 / 8	2 / 8	1 / 8		Point V is labeled on this number line. Which fraction shows where point V is on the number line?  8 / 8  7 / 8  2 / 8  1 / 8
1260	MA	2019.0	3	Measurement and Data	3.MD.B.4	0.77	1	What is the length, to the nearest 1 2 inch, of the nail shown?	2 inches	2 1/2 inches	3 inches	3 1/2 inches		What is the length, to the nearest 1 2 inch, of the nail shown? 2 inches 2 1/2 inches 3 inches 3 1/2 inches
1261	MA	2019.0	3	Geometry	3.G.A.2	0.63	1	A figure is divided into four equal parts, as shown. Which fraction of the total area of the figure is one part?	1 / 4	2 / 4	3 / 4	4 / 4		A figure is divided into four equal parts, as shown. Which fraction of the total area of the figure is one part?  1 / 4  2 / 4  3 / 4  4 / 4
1319	MD		3	Operations and Algebraic Thinking	3.OA.A.3-2		0	Diana had 63 feet of rope. She cut the rope into 7 pieces of equal length. Which expression represents the length, in feet, of each piece of rope? Select one answer.	63 x 7	63 - 7	63 + 7	63 ÷ 7		Diana had 63 feet of rope. She cut the rope into 7 pieces of equal length. Which expression represents the length, in feet, of each piece of rope? Select one answer. 63 x 7 63 - 7 63 + 7 63 ÷ 7
1320	MD		3	Operations and Algebraic Thinking	3.OA.D.9		0	What is the result when an even number is multiplied by 5? Select one answer.	The result is an even number with a 0 in the ones place.	The result is an odd number with a 0 in the ones place.	The result is an even number with a 5 in the ones place.	The result is an odd number with a 5 in the ones place.		What is the result when an even number is multiplied by 5? Select one answer. The result is an even number with a 0 in the ones place. The result is an odd number with a 0 in the ones place. The result is an even number with a 5 in the ones place. The result is an odd number with a 5 in the ones place.
1321	MD		3	Number and Operations - Fractions	3.NF.A.2b		1	Point W represents a fraction on the number line.  Which fraction is represented by point W? Select one answer.	0/3	1 / 3	2 / 3	3 / 3		Point W represents a fraction on the number line.  Which fraction is represented by point W? Select one answer. 0/3  1 / 3  2 / 3  3 / 3
1336	MN		3	The Number System	3.1.1.5	0.93	0	Joe has a set of building blocks with 864 pieces. Dan has a set with more pieces than Joe's set. How many pieces could be in Dan's set?	863	860	849	870		Joe has a set of building blocks with 864 pieces. Dan has a set with more pieces than Joe's set. How many pieces could be in Dan's set? 863 860 849 870
1337	MN		3	Operations and Algebraic Thinking	3.2.2.1	0.29	0	An equation is shown. 12 __ 2 = 24 __ 4  What symbol goes in both blanks to make the equation true?	+	-	x	/		An equation is shown. 12 __ 2 = 24 __ 4  What symbol goes in both blanks to make the equation true? + - x /
1338	MN		3	Operations and Algebraic Thinking	3.2.2.2	0.3	0	Mr. Lange wrote an equation. 3 + __ = 12 / 4  Which number makes the equation true?	0	1	5	9		Mr. Lange wrote an equation. 3 + __ = 12 / 4  Which number makes the equation true? 0 1 5 9
1339	MN		3	Operations and Algebraic Thinking	3.2.2.2	0.49	0	A number sentence is shown. 2 x __ = 6 + 4   What is the value of __ in the number sentence?	3	5	8	20		A number sentence is shown. 2 x __ = 6 + 4   What is the value of __ in the number sentence? 3 5 8 20
1340	MN		3	Operations and Algebraic Thinking	3.2.1.1	0.57	0	A pattern is shown. 186 169 152 __ ?  101 What is the fifth number in the pattern?	108	118	135	145		A pattern is shown. 186 169 152 __ ?  101 What is the fifth number in the pattern? 108 118 135 145
1341	MN		3	Operations and Algebraic Thinking	3.2.2.2	0.55	0	There are 48 jars on a shelf. There are __ rows of jars with an equal number of jars in each row. Which statement could be true about the number of jars on the shelf?	There are 6 jars in each of the __ rows because __ x 6 = 48.	There are 6 jars in each of the __ rows because __ = 6 / 48.	There are 6 jars in each of the __ rows because 6 = 48 x __.	There are 6 jars in each of the __ rows because 6 = __ / 48.		There are 48 jars on a shelf. There are __ rows of jars with an equal number of jars in each row. Which statement could be true about the number of jars on the shelf? There are 6 jars in each of the __ rows because __ x 6 = 48. There are 6 jars in each of the __ rows because __ = 6 / 48. There are 6 jars in each of the __ rows because 6 = 48 x __. There are 6 jars in each of the __ rows because 6 = __ / 48.
1342	MN		3	Operations and Algebraic Thinking	3.2.1.1	0.35	1	The table shows the cost of apples. Ben paid $18 for apples at the grocery store. How many pounds of apples did Ben buy?	7	8	9	12		The table shows the cost of apples. Ben paid $18 for apples at the grocery store. How many pounds of apples did Ben buy? 7 8 9 12
1343	MN		3	Geometry	3.3.3.1	0.79	1	A clock is shown. What time is shown on the clock?	06:09:00	06:45:00	07:45:00	09:34:00		A clock is shown. What time is shown on the clock? 0.25625 0.28125 0.322916666666667 0.398611111111111
1344	MN		3	Geometry	3.3.3.1	0.71	1	Ms. Darby arrived at the store at the time shown on the clock. She left the store 40 minutes later. What time did Ms. Darby leave the store?	09:00:00	09:40:00	10:20:00	10:40:00		Ms. Darby arrived at the store at the time shown on the clock. She left the store 40 minutes later. What time did Ms. Darby leave the store? 0.375 0.402777777777778 0.430555555555556 0.444444444444444
1345	MN		3	Measurement and Data	3.4.1.1	0.55	1	The table below shows the number of toys sold on 4 different days. Alex makes a pictograph of the information in the table. One of the days is represented with 4 circles. What could be the key to Alex's pictograph?	circle = 2 toys	circle = 4 toys	circle = 5 toys	circle = 10 toys		The table below shows the number of toys sold on 4 different days. Alex makes a pictograph of the information in the table. One of the days is represented with 4 circles. What could be the key to Alex's pictograph? circle = 2 toys circle = 4 toys circle = 5 toys circle = 10 toys
1346	MN		3	Measurement and Data	3.4.1.1	0.27	1	A pictograph is shown. How many CDs were bought by people age 30 and over?	4	6	8	12		A pictograph is shown. How many CDs were bought by people age 30 and over? 4 6 8 12
1347	MN		3	Geometry	3.3.3.4	0.67	1	The thermometer shows the temperature when Ann was eating breakfast. When Ann was having dinner the tempreature was 22 F warmer. What was the temperature during dinner?	22 F	52 F	54 F	74 F		The thermometer shows the temperature when Ann was eating breakfast. When Ann was having dinner the tempreature was 22 F warmer. What was the temperature during dinner? 22 F 52 F 54 F 74 F
1348	MN		3	The Number System	3.1.3.1	0.74	1	Lila sees balloons and kites at the park. What fraction of the things she sees are balloons?	2 / 4	4 / 6	6 / 4	4 / 2		Lila sees balloons and kites at the park. What fraction of the things she sees are balloons?  2 / 4  4 / 6  6 / 4  4 / 2
1349	MN		3	Geometry	3.3.2.2	0.89	1	Jack has to sew a badge onto his shirt. The 3 sides of the badge are the same length. What is the perimeter of the badge?	6 cm	12 cm	18 cm	24 cm		Jack has to sew a badge onto his shirt. The 3 sides of the badge are the same length. What is the perimeter of the badge? 6 cm 12 cm 18 cm 24 cm
1350	MN		3	Operations and Algebraic Thinking	3.2.1.1	0.58	1	An input-output table is shown. What is the output number when the input number is 11?	5	40	45	55		An input-output table is shown. What is the output number when the input number is 11? 5 40 45 55
1417	MO		3				0	There are 34,098 fans at the baseball stadium.  What is the number name for the fans at the baseball stadium?	thirty-four thousand zero ninety-eight	three thousand four hundred ninety-eight	thirty-four thousand ninety-eight	three thousand four thousand ninety-eight		There are 34,098 fans at the baseball stadium.  What is the number name for the fans at the baseball stadium? thirty-four thousand zero ninety-eight three thousand four hundred ninety-eight thirty-four thousand ninety-eight three thousand four thousand ninety-eight
1418	MO		3				0	A swimming pool has 245 gallons of water in it. A hose is used to add 330 more gallons of water to the swimming pool.  How many gallons of water are in the swimming pool now?	85	278	548	575		A swimming pool has 245 gallons of water in it. A hose is used to add 330 more gallons of water to the swimming pool.  How many gallons of water are in the swimming pool now? 85 278 548 575
1419	MO		3				0	Donny is saving money to buy a skateboard that costs $28. He has saved $11 so far. Donny rounds each of these numbers to the nearest ten to estimate how much more money he needs to save. He estimates that he needs to save $10 more to buy the skateboard. Donny made a mistake. Which statement most likely explains the mistake Donny made while estimating?	He subtracted and then rounded incorrectly.	He rounded the greater number down instead of up.	He rounded the greater number up instead of down.	He forgot to regroup when he was subtracting two amounts.		Donny is saving money to buy a skateboard that costs $28. He has saved $11 so far. Donny rounds each of these numbers to the nearest ten to estimate how much more money he needs to save. He estimates that he needs to save $10 more to buy the skateboard. Donny made a mistake. Which statement most likely explains the mistake Donny made while estimating? He subtracted and then rounded incorrectly. He rounded the greater number down instead of up. He rounded the greater number up instead of down. He forgot to regroup when he was subtracting two amounts.
1420	MO		3				0	Monique has finished 3/4 of her math project and 3/8  of her reading project.  Which statement correctly compares the fractions of the projects Monique has finished?	3/4 < 3/8 because 4 < 8	3/4 < 3/8 because 3/4 < 1/2 and 3/8 > 1/2	3/4 > 3/8 because 4 -3 <  8 - 3	3/4 > 3/8 because 3/4 > 1/2 and 3/8 < 1/2		Monique has finished 3/4 of her math project and 3/8  of her reading project.  Which statement correctly compares the fractions of the projects Monique has finished? 3/4 < 3/8 because 4 < 8 3/4 < 3/8 because 3/4 < 1/2 and 3/8 > 1/2 3/4 > 3/8 because 4 -3 <  8 - 3 3/4 > 3/8 because 3/4 > 1/2 and 3/8 < 1/2
1421	MO		3				0	Andrea and Steven make copies of a worksheet. Andrea makes 225 copies of the worksheet. Steven makes 377 copies of the worksheet.   How many total copies of the worksheet do they make?	502	592	602	692		Andrea and Steven make copies of a worksheet. Andrea makes 225 copies of the worksheet. Steven makes 377 copies of the worksheet.   How many total copies of the worksheet do they make? 502 592 602 692
1422	MO		3				0	Kyle has 45 watermelon seeds. He plants 9 rows of watermelons with the same number of seeds in each row.	4	5	34	36		Kyle has 45 watermelon seeds. He plants 9 rows of watermelons with the same number of seeds in each row. 4 5 34 36
1423	MO		3				0	Inez buys 5 boxes of granola bars. There are 8 bars in each box. Which expression is equivalent to the total number of granola bars?	3 x 8 x 2 x 8	5 x 4 x 5 x 4	5 x (10 - 2)	8 x (4 -1)		Inez buys 5 boxes of granola bars. There are 8 bars in each box. Which expression is equivalent to the total number of granola bars? 3 x 8 x 2 x 8 5 x 4 x 5 x 4 5 x (10 - 2) 8 x (4 -1)
1453	MS	2020.0	3	Number and Operations in Base Ten	3.NBT.2		0	Find the difference. $900 - $631	231	269	331	369		Find the difference. $900 - $631 231 269 331 369
1454	MS	2020.0	3	Operations and Algebraic Thinking	3.OA.6		0	If 30 / ____ = 5, what is the missing factor?	6	7	25	35		If 30 / ____ = 5, what is the missing factor? 6 7 25 35
1455	MS	2020.0	3	Operations and Algebraic Thinking	3.OA.4		0	What number makes the equation true? 8 x ___ = 48	5	6	7	8		What number makes the equation true? 8 x ___ = 48 5 6 7 8
1456	MS	2020.0	3	Measurement and Data	3.MD.1		0	The team bus left for the game at 3:40 p.m. The bus arrived at the field 12 minutes later. What time did the bus arrive?	3:28 p.m.	3:30 p.m.	3:52 p.m.	3:55 p.m.		The team bus left for the game at 3:40 p.m. The bus arrived at the field 12 minutes later. What time did the bus arrive? 3:28 p.m. 3:30 p.m. 3:52 p.m. 3:55 p.m.
1457	MS	2020.0	3	Number and Operations in Base Ten	3.NBT.1		0	Which number rounds to 60?	48	55	65	67		Which number rounds to 60? 48 55 65 67
1458	MS	2020.0	3	Operations and Algebraic Thinking	3.OA.5		0	Karen is working the multiplication problem shown. 19 x 3 = __ Which expression represents a strategy that Karen would use to calculate her answer?	(10 + 3) + (9 + 3)	(10 + 9) + (10 + 3)	(10 x 3) + (9 x 3)	(10 x 9) + (10 x 3)		Karen is working the multiplication problem shown. 19 x 3 = __ Which expression represents a strategy that Karen would use to calculate her answer? (10 + 3) + (9 + 3) (10 + 9) + (10 + 3)  (10 x 3) + (9 x 3) (10 x 9) + (10 x 3)
1459	MS	2020.0	3	Operations and Algebraic Thinking	3.OA.8		0	Joe has $60 to buy 7 new shirts. If each shirt costs $8, which equation represents the amount of money (m) Joe will have left?	60 - 15 = m	60 - 56 = m	60 + 15 = m	60 + 56 = m		Joe has $60 to buy 7 new shirts. If each shirt costs $8, which equation represents the amount of money (m) Joe will have left? 60 - 15 = m 60 - 56 = m 60 + 15 = m 60 + 56 = m
1460	MS	2020.0	3	Operations and Algebraic Thinking	3.OA.3		0	John had 24 pieces of candy to give his 3teachers. He gave each teacher the same amount of candy. How many pieces of candy did he give each teacher?	6 pieces	8 pieces	21 pieces	27 pieces		John had 24 pieces of candy to give his 3teachers. He gave each teacher the same amount of candy. How many pieces of candy did he give each teacher? 6 pieces 8 pieces 21 pieces 27 pieces
