	state	year	grade	domain	standard	pvalue	hasPic	questionStem	a	b	c	d	e	completeq
1073	MA	2015.0	7	Statistics and Probability	SP.3	0.44	1	The table below shows the scores Analisa and Luke earned on four science projects. Analisa and Luke worked on a fifth science project together. They each earned the same score on the project. When the fifth score is included in the table, Analisa’s mean score does not change. Which of the following statements describes how Luke’s mean score changes when the fifth score is included in the table?	It decreases by 2.5.	It decreases by 1.	It increases by 2.5.	It increases by 1.		The table below shows the scores Analisa and Luke earned on four science projects. Analisa and Luke worked on a fifth science project together. They each earned the same score on the project. When the fifth score is included in the table, Analisa’s mean score does not change. Which of the following statements describes how Luke’s mean score changes when the fifth score is included in the table? It decreases by 2.5. It decreases by 1. It increases by 2.5.  It increases by 1.
1074	MA	2015.0	7	Expressions and Equations	EE.4	0.6	1	A parallelogram and one of its measurements are shown below. The area of the parallelogram, in square feet, can be represented by the expression 12n. Which of the following expressions represents the base, in feet, of the parallelogram?	4n	4	36n	36		A parallelogram and one of its measurements are shown below. The area of the parallelogram, in square feet, can be represented by the expression 12n. Which of the following expressions represents the base, in feet, of the parallelogram? 4n 4 36n 36
1143	MA	2016.0	7	The Number System	NS.1	0.76	0	What is the value of the expression below? |12| + |-15|	-27	-3	3	27		What is the value of the expression below? |12| + |-15| -27 -3 3 27
1144	MA	2016.0	7	Expressions and Equations	EE.2	0.49	0	A store owner uses the expression below to calculate the sale price of each CD player he is discounting. r -  0.2r In the expression, r represents the regular price of a CD player. Which of the following is equivalent to the expression?	0.1r	0.8r	0.9r	1.2r		A store owner uses the expression below to calculate the sale price of each CD player he is discounting. r -  0.2r In the expression, r represents the regular price of a CD player. Which of the following is equivalent to the expression? 0.1r 0.8r 0.9r 1.2r
1145	MA	2016.0	7	The Number System	NS.3	0.66	0	Coffee, tea, and pastries are sold at a coffee shop. Last week, 2/5 of the coffee shop’s profits were from coffee sales and 1/3 of its profits were from tea sales. The rest of its profits were from pastry sales. What fraction of the coffee shop’s total profits last week were from pastry sales?	1 / 15	2 / 15	4 / 15	11 / 15		Coffee, tea, and pastries are sold at a coffee shop. Last week, 2/5 of the coffee shop’s profits were from coffee sales and 1/3 of its profits were from tea sales. The rest of its profits were from pastry sales. What fraction of the coffee shop’s total profits last week were from pastry sales?  1 / 15  2 / 15  4 / 15  11 / 15
1146	MA	2016.0	7	The Number System	NS.2	0.65	0	Which of the following is equivalent to the expression below? (3)(4)(- 3/4)	-12(-3/4)	-12(3/4)	-12 - 3/4	-12 + 3/4		Which of the following is equivalent to the expression below? (3)(4)(- 3/4) -12(-3/4) -12(3/4) -12 - 3/4 -12 + 3/4
1147	MA	2016.0	7	The Number System	NS.3	0.7	0	Which of the following numbers is between 4 1/3 and 4 3/5 on a number line?	4.1	4.2	4.3	4.4		Which of the following numbers is between 4 1/3 and 4 3/5 on a number line? 4.1 4.2 4.3 4.4
1148	MA	2016.0	7	The Number System	NS.2	0.74	0	Which of the following expressions has a value of 1.25?	(2.5)(-0.5)	-(2.5)(0.5)	(-2.5)(-0.5)	-(-2.5)(-0.5)		Which of the following expressions has a value of 1.25? (2.5)(-0.5) -(2.5)(0.5) (-2.5)(-0.5) -(-2.5)(-0.5)
1149	MA	2016.0	7	Ratios and Proportional Relationships	RP.1	0.79	0	Sophia needs 1 1/4 cups of honey to make 5 batches of snack bars. What is the number of cups of honey she will need to make 1 batch of snack bars?	6 1/4	4	1 / 4	4 / 25		Sophia needs 1 1/4 cups of honey to make 5 batches of snack bars. What is the number of cups of honey she will need to make 1 batch of snack bars? 6 1/4 4  1 / 4  4 / 25
1150	MA	2016.0	7	Ratios and Proportional Relationships	RP.3	0.86	0	Adan has a map with the following scale. Scale 1/2 inch : 50 miles The distance on the map from Clarksville to Jackson is 2 inches. What is the actual distance from Clarksville to Jackson?	25 miles	50 miles	100 miles	200 miles		Adan has a map with the following scale. Scale 1/2 inch : 50 miles The distance on the map from Clarksville to Jackson is 2 inches. What is the actual distance from Clarksville to Jackson? 25 miles 50 miles 100 miles 200 miles
1151	MA	2016.0	7	Ratios and Proportional Relationships	RP.3	0.64	0	Amin has 16 pots of equal size. He used 9 bags of potting soil to fill 12 of the pots. At that rate, how many bags of potting soil does Amin need to fill the remaining 4 pots?	1	1 4/5	3	5 1/3		Amin has 16 pots of equal size. He used 9 bags of potting soil to fill 12 of the pots. At that rate, how many bags of potting soil does Amin need to fill the remaining 4 pots? 1 1 4/5 3 5 1/3
1152	MA	2016.0	7	The Number System	NS.3	0.81	0	A bottle contains 120 fluid ounces of laundry detergent. Which of the following is closest to the number of liters in 120 fluid ounces? (1 fluid ounce = 0.0296 liter)	3.55 liters	4.05 liters	4.16 liters	4.47 liters		A bottle contains 120 fluid ounces of laundry detergent. Which of the following is closest to the number of liters in 120 fluid ounces? (1 fluid ounce = 0.0296 liter) 3.55 liters 4.05 liters 4.16 liters 4.47 liters
1153	MA	2016.0	7	Statistics and Probability	SP.6	0.88	1	A game spinner is divided into 5 congruent sections and labeled, as shown below. The arrow will be spun 100 times. Which of the following is most likely the number of times the arrow will stop on the section labeled “lose a turn”?	10	20	25	50		A game spinner is divided into 5 congruent sections and labeled, as shown below. The arrow will be spun 100 times. Which of the following is most likely the number of times the arrow will stop on the section labeled “lose a turn”? 10 20 25 50
1154	MA	2016.0	7	Geometry	G.5	0.69	1	The diagram below shows three lines that intersect to form a triangle. Based on the angle measures in the diagram, what is the value of x ?	32	67	81	99		The diagram below shows three lines that intersect to form a triangle. Based on the angle measures in the diagram, what is the value of x ? 32 67 81 99
1155	MA	2016.0	7	Ratios and Proportional Relationships	RP.1	0.59	1	The prices for different spices at a grocery store are shown in the table below. Which of the following spices has the least price per ounce?	cumin	ginger	nutmeg	thyme		The prices for different spices at a grocery store are shown in the table below. Which of the following spices has the least price per ounce? cumin ginger nutmeg thyme
1156	MA	2016.0	7	Geometry	G.6	0.69	1	Mr. Kramer’s patio is in the shape of a trapezoid. The trapezoid and its dimensions are shown below. What is the area of the patio?	144 square feet	252 square feet	315 square feet	360 square feet		Mr. Kramer’s patio is in the shape of a trapezoid. The trapezoid and its dimensions are shown below. What is the area of the patio? 144 square feet 252 square feet 315 square feet  360 square feet
1157	MA	2016.0	7	Geometry	G.4	0.5	1	A circle inscribed in a square is shown below. The area of the square is 81 square centimeters. Which of the following is closest to the circumference, in centimeters, of the circle inscribed in the square? (Use 3.14 for π.)	14.13	28.26	63.59	127.17		A circle inscribed in a square is shown below. The area of the square is 81 square centimeters. Which of the following is closest to the circumference, in centimeters, of the circle inscribed in the square? (Use 3.14 for π.) 14.13 28.26 63.59 127.17
1158	MA	2016.0	7	Geometry	G.7	0.66	1	The formula for the surface area of a sphere that has a radius r is shown in the box below. A sphere and one of its dimensions are shown in the diagram below. What is the surface area, in square inches, of the sphere?	40π	80π	100π	400π		The formula for the surface area of a sphere that has a radius r is shown in the box below. A sphere and one of its dimensions are shown in the diagram below. What is the surface area, in square inches, of the sphere? 40π 80π 100π 400π
1185	MA	2017.0	7	Ratios and Proportional Relationships	7.RP.1.01	0.67	0	Brian read 8 1/4 pages of a book in 1/6 hour. At this rate, what is the total number of pages of the book he will read in 1 hour?	49 1/2	48	8 1/24	1 3/8		Brian read 8 1/4 pages of a book in 1/6 hour. At this rate, what is the total number of pages of the book he will read in 1 hour? 49 1/2 48 8 1/24 1 3/8
1186	MA	2017.0	7	Geometry	7.G.2.04	0.52	1	A mirror in the shape of a circle is shown in this diagram.Based on the dimension in the diagram, what is the area, to the nearest tenth of a square inch, of the mirror? (Use 3.14 for π.)	56.5	254.3	798.6	1017.4		A mirror in the shape of a circle is shown in this diagram.Based on the dimension in the diagram, what is the area, to the nearest tenth of a square inch, of the mirror? (Use 3.14 for π.) 56.5 254.3 798.6 1017.4
1232	MA	2018.0	7	Ratios and Proportional Relationships	7.RP.A.02	0.69	0	Charles bought a box of fruit that contained only oranges and tangerines. • There were 5 oranges for every 3 tangerines in the box. • There were 20 oranges in the box. Which of the following proportions can be used to find x, the number of tangerines in the box?	5/8 = x/20	5/8 = 20/x	5/3 = x/20	5/3 = 20/x		Charles bought a box of fruit that contained only oranges and tangerines. • There were 5 oranges for every 3 tangerines in the box. • There were 20 oranges in the box. Which of the following proportions can be used to find x, the number of tangerines in the box? 5/8 = x/20 5/8 = 20/x 5/3 = x/20 5/3 = 20/x
1233	MA	2018.0	7	The Number System	7.NS.A.01	0.59	0	What is the value of this expression? 6 + (–9) – (–4)	-11	-7	1	19		What is the value of this expression? 6 + (–9) – (–4) -11 -7 1 19
1234	MA	2018.0	7	Statistics and Probability	7.SP.C.05	0.51	0	A carton of pens contains 4 blue pens, 3 red pens, 10 black pens, and 1 green pen. All the pens are the same size and shape. Harry will select a pen at random. Which of the following best describes the probability that Harry will select a green pen?	likely	certain	unlikely	impossible		A carton of pens contains 4 blue pens, 3 red pens, 10 black pens, and 1 green pen. All the pens are the same size and shape. Harry will select a pen at random. Which of the following best describes the probability that Harry will select a green pen? likely certain unlikely impossible
1235	MA	2018.0	7	Expressions and Equations	7.EE.A.02	0.52	0	Emma noticed that the new admission fee for the zoo is 50% more than last year’s fee. She wrote this expression to represent the new admission fee, where f represents last year’s fee. f + (0.50 × f ) Which of the following expressions shows another way Emma could have represented the new admission fee?	1.5f	150f	f + 1.5	f + 150		Emma noticed that the new admission fee for the zoo is 50% more than last year’s fee. She wrote this expression to represent the new admission fee, where f represents last year’s fee. f + (0.50 × f ) Which of the following expressions shows another way Emma could have represented the new admission fee? 1.5f 150f f + 1.5 f + 150
1236	MA	2018.0	7	The Number System	7.NS.A.02	0.48	0	Which of the following is equivalent to this expression? 40 ÷ 1/4	1/4 • 40	40 • 4	1/4 ÷ 40	40 ÷ 4		Which of the following is equivalent to this expression? 40 ÷ 1/4 1/4 • 40 40 • 4 1/4 ÷ 40 40 ÷ 4
1237	MA	2018.0	7	Expressions and Equations	7.EE.B.04	0.75	0	The computer teacher at a middle school spent $12,950 to buy a storage cart and 25 laptop computers. The total purchase is represented by this equation, where c stands for the cost of each laptop computer purchased. 25c + 450 = 12,950 What was the cost of each laptop computer that the teacher purchased?	536	518	500	475		The computer teacher at a middle school spent $12,950 to buy a storage cart and 25 laptop computers. The total purchase is represented by this equation, where c stands for the cost of each laptop computer purchased. 25c + 450 = 12,950 What was the cost of each laptop computer that the teacher purchased? 536 518 500 475
1238	MA	2018.0	7	Expressions and Equations	7.EE.B.03	0.52	0	The label on Adriana’s carton of juice has this information listed. • One serving size equals 1/2 cup. • Each serving has 30% of the recommended daily amount of vitamin C.  Yesterday, Adriana drank 2 1/4 cups of juice. What percent of the recommended daily amount of vitamin C was in the juice Adriana drank yesterday?	0.3375	0.675	1.2	1.35		The label on Adriana’s carton of juice has this information listed. • One serving size equals 1/2 cup. • Each serving has 30% of the recommended daily amount of vitamin C.  Yesterday, Adriana drank 2 1/4 cups of juice. What percent of the recommended daily amount of vitamin C was in the juice Adriana drank yesterday? 0.3375 0.675 1.2 1.35
1239	MA	2018.0	7	Geometry	7.G.B.04	0.45	0	A circular mirror has a circumference of 30π inches. What is the area of the mirror?	30π square inches	60π square inches	225π square inches	900π square inches		A circular mirror has a circumference of 30π inches. What is the area of the mirror? 30π square inches 60π square inches 225π square inches 900π square inches
1240	MA	2018.0	7	Expressions and Equations	7.EE.A.02	0.14	0	A television originally cost t dollars, including tax. Ricardo purchased the television when it was on sale for 35% off its original cost. Which of the following expressions represents the final cost, in dollars, of the television Ricardo purchased?	t - 0.35	t + 0.65	0.35t	0.65t		A television originally cost t dollars, including tax. Ricardo purchased the television when it was on sale for 35% off its original cost. Which of the following expressions represents the final cost, in dollars, of the television Ricardo purchased? t - 0.35 t + 0.65 0.35t 0.65t
1241	MA	2018.0	7	Expressions and Equations	7.EE.B.04	0.61	0	The members of a tennis team have a goal of raising at least $500 for new equipment. They have already raised $275. The team members plan to raise more money by washing cars. They will charge $5 for each car they wash. Let c represent the number of cars the team members will wash. Which of the following could be used to find the least number of cars they must wash to reach their goal?	5c − 275 > 500	5c − 275 ≥ 500	5c + 275 > 500	5c + 275 ≥ 500		The members of a tennis team have a goal of raising at least $500 for new equipment. They have already raised $275. The team members plan to raise more money by washing cars. They will charge $5 for each car they wash. Let c represent the number of cars the team members will wash. Which of the following could be used to find the least number of cars they must wash to reach their goal? 5c − 275 > 500 5c − 275 ≥ 500 5c + 275 > 500 5c + 275 ≥ 500
1242	MA	2018.0	7	Geometry	7.G.B.05	0.31	1	Lines l, m, and n intersect each other, as shown in this diagram. Based on the angle measures in the diagram, what is the value of y ?	36	52	88	92		Lines l, m, and n intersect each other, as shown in this diagram. Based on the angle measures in the diagram, what is the value of y ? 36 52 88 92
1243	MA	2018.0	7	Statistics and Probability	7.SP.A.02	0.32	1	A school cafeteria manager conducted a survey to determine the students’ favorite hot lunch. Five different random samples of 100 students each completed the survey. The results are shown in this table. There are 2,000 students in the school. Based on the survey results, which of the following is closest to the expected total number of students whose favorite hot lunch is grilled cheese?	220	500	900	1040		A school cafeteria manager conducted a survey to determine the students’ favorite hot lunch. Five different random samples of 100 students each completed the survey. The results are shown in this table. There are 2,000 students in the school. Based on the survey results, which of the following is closest to the expected total number of students whose favorite hot lunch is grilled cheese? 220 500 900 1040
1244	MA	2018.0	7	Geometry	7.G.A.02	0.26	1	Two vertices and one side of right triangle JKL are shown on this coordinate plane. Which ordered pair could represent the location of vertex L of right triangle JKL ?	(-4, 1)	(-3, 2)	(1, 6)	(2, 5)		Two vertices and one side of right triangle JKL are shown on this coordinate plane. Which ordered pair could represent the location of vertex L of right triangle JKL ? (-4, 1) (-3, 2)  (1, 6) (2, 5)
1294	MA	2019.0	7	Ratios and Proportional Relationships	7.RP.A.1	0.76	0	A student can run 6 miles in 3/4 hour. At this rate, what is the total number of miles the student can run in 1 hour?	1 / 8	2 / 9	8	9		A student can run 6 miles in 3/4 hour. At this rate, what is the total number of miles the student can run in 1 hour?  1 / 8  2 / 9 8 9
1295	MA	2019.0	7	The Number System	7.NS.A.3	0.47	0	Consider this expression. [−1/5 − (−2/3)] • (−5/6) What is the value of the expression?	-  7 / 18	-  34 / 45	13 / 18	34 / 45		Consider this expression. [−1/5 − (−2/3)] • (−5/6) What is the value of the expression?  -  7 / 18  -  34 / 45  13 / 18  34 / 45
1296	MA	2019.0	7	The Number System	7.NS.A.3	0.45	0	One evening, the temperature decreased by 5°F during the first hour after sunset, and then decreased by 2°F each hour for the next 7 hours. The temperature increased by 14.5°F the next morning and then increased by 11°F that afternoon. What was the total change in temperature?	The temperature decreased by a total of 15.5°F.	The temperature decreased by a total of 16.5°F.	The temperature increased by a total of 6.5°F.	The temperature increased by a total of 32.5°F.		One evening, the temperature decreased by 5°F during the first hour after sunset, and then decreased by 2°F each hour for the next 7 hours. The temperature increased by 14.5°F the next morning and then increased by 11°F that afternoon. What was the total change in temperature?  The temperature decreased by a total of 15.5°F. The temperature decreased by a total of 16.5°F.  The temperature increased by a total of 6.5°F. The temperature increased by a total of 32.5°F.
1297	MA	2019.0	7	Expressions and Equations	7.EE.B.3	0.3	0	A student had 500 milliliters of water in a water bottle. She drank 25% of the water before soccer practice. After practice, she drank 1/3 of the remaining water. How much water, in milliliters, does the student have left in the bottle?	250	290	330	375		A student had 500 milliliters of water in a water bottle. She drank 25% of the water before soccer practice. After practice, she drank 1/3 of the remaining water. How much water, in milliliters, does the student have left in the bottle? 250 290 330 375
1298	MA	2019.0	7	Statistics and Probability	7.SP.A.1	0.35	0	The manager of a company wants to survey a representative sample of the company’s employees to choose a company logo. Which of the following is a representative sample of the company’s employees?	every third employee from the largest department in the company	every employee who enters the employee cafeteria	every third employee on the company’s payroll	every employee who is under the age of 35		The manager of a company wants to survey a representative sample of the company’s employees to choose a company logo. Which of the following is a representative sample of the company’s employees? every third employee from the largest department in the company every employee who enters the employee cafeteria every third employee on the company’s payroll every employee who is under the age of 35
1299	MA	2019.0	7	Expressions and Equations	7.EE.A.2	0.29	0	This expression can be used to find the price of a television that is on sale for 20% off the regular price of p dollars. p − 1/5p Which of the following is another expression that can be used to find the sale price of the television?	0.20p	0.20p - p	0.80p	0.80p - p		This expression can be used to find the price of a television that is on sale for 20% off the regular price of p dollars. p − 1/5p Which of the following is another expression that can be used to find the sale price of the television? 0.20p 0.20p - p 0.80p 0.80p - p
1300	MA	2019.0	7	Expressions and Equations	7.EE.A.1	0.25	0	Consider this expression. −4(x − 1) + 2 Which of the following is equivalent to the expression?	-4x - 8	-4x - 2	-4x +1	-4x + 6		Consider this expression. −4(x − 1) + 2 Which of the following is equivalent to the expression? -4x - 8 -4x - 2 -4x +1 -4x + 6
1301	MA	2019.0	7	Ratios and Proportional Relationships	7.RP.A.3 S	0.32	0	A customer wants to purchase a sweater from a store. • The original price of the sweater is $40. • The sweater is on sale for 10% off the original price. • The customer has a coupon for 25% off the sale price. The customer claims that she can determine the final price of the sweater by taking 35% off the original price since 10% + 25% = 35%. Which of the following statements is true?	The customer’s claim is correct. The final price of the sweater will be $5.	The customer’s claim is correct. The final price of the sweater will be $26.	The customer’s claim is incorrect. The final price of the sweater will be $27.	The customer’s claim is incorrect. The final price of the sweater will be $30.		A customer wants to purchase a sweater from a store. • The original price of the sweater is $40. • The sweater is on sale for 10% off the original price. • The customer has a coupon for 25% off the sale price. The customer claims that she can determine the final price of the sweater by taking 35% off the original price since 10% + 25% = 35%. Which of the following statements is true? The customer’s claim is correct. The final price of the sweater will be $5. The customer’s claim is correct. The final price of the sweater will be $26.  The customer’s claim is incorrect. The final price of the sweater will be $27. The customer’s claim is incorrect. The final price of the sweater will be $30.
1302	MA	2019.0	7	Statistics and Probability	7.SP.A.2	0.58	1	A principal surveyed 200 seventh-grade students to find out whether they prefer to participate in fall sports or spring sports. This table shows the results. Based on the table, what is the probability that a seventh-grade student chosen at random would prefer to participate in spring sports rather than fall sports?	0.37	0.46	0.54	0.92		A principal surveyed 200 seventh-grade students to find out whether they prefer to participate in fall sports or spring sports. This table shows the results. Based on the table, what is the probability that a seventh-grade student chosen at random would prefer to participate in spring sports rather than fall sports? 0.37 0.46 0.54 0.92
1303	MA	2019.0	7	Statistics and Probability	7.SP.C.8	0.26	1	A teacher has a number cube with faces numbered 1 through 6. He will roll the number cube two times. This tree diagram shows all the possible outcomes that can result when the teacher rolls the number cube two times. Each time the teacher rolls the number cube, he will record the number shown on the top face. Then he will find the sum of the two numbers he records. What is the probability that the sum of the numbers he records will be 8?	5 / 36	0 / 36	1 / 11	5 / 6		A teacher has a number cube with faces numbered 1 through 6. He will roll the number cube two times. This tree diagram shows all the possible outcomes that can result when the teacher rolls the number cube two times. Each time the teacher rolls the number cube, he will record the number shown on the top face. Then he will find the sum of the two numbers he records. What is the probability that the sum of the numbers he records will be 8?  5 / 36  0 / 36  1 / 11  5 / 6
1304	MA	2019.0	7	Geometry	7.G.B.4	0.61	1	A circle has a radius of 6 meters, as shown. Which of the following is closest to the circumference, in meters, of the circle? (Use 3.14 for π.)	18.8	37.7	59.2	113		A circle has a radius of 6 meters, as shown. Which of the following is closest to the circumference, in meters, of the circle? (Use 3.14 for π.) 18.8 37.7 59.2 113
1305	MA	2019.0	7	Geometry	7.G.B.4	0.61	1	A circle has a radius of 6 meters, as shown. What is the area, in square meters, of the circle?	6π	12π	36π	144π		A circle has a radius of 6 meters, as shown. What is the area, in square meters, of the circle? 6π 12π 36π 144π
1332	MD		7	The Number System	7.NS.A.2c		0	What is the value of the following expression?(-1/2) ÷ (3/5)  Select one answer.	1 / 30	- 1 / 30	5 / 6	-  5 / 6		What is the value of the following expression?(-1/2) ÷ (3/5)  Select one answer.  1 / 30  - 1 / 30  5 / 6  -  5 / 6
1390	MN		7	Geometry	7.3.2.2	0.32	0	Each side of a square is 3 inches long. A student increases the length of each side by 3 inches. The area of the new square is how many times the area of the original square?	2	3	4	9		Each side of a square is 3 inches long. A student increases the length of each side by 3 inches. The area of the new square is how many times the area of the original square? 2 3 4 9
1391	MN		7	Operations and Algebraic Thinking	7.2.3.2	0.5	0	What is the value of 2(g + m) - c when g = 3/4 , m = 1/8, and c = 5/4?	- 3 / 4	3 / 8	1 / 2	13 / 8		What is the value of 2(g + m) - c when g = 3/4 , m = 1/8, and c = 5/4?  - 3 / 4  3 / 8  1 / 2  13 / 8
1392	MN		7	Operations and Algebraic Thinking	7.2.4.1	0.7	0	The equation 64 = 8h + 4^2 can be used to calculate h, the slant height of a pyramid. What is the slant height of the pyramid?	6 units	10 units	24 units	40 units		The equation 64 = 8h + 4^2 can be used to calculate h, the slant height of a pyramid. What is the slant height of the pyramid? 6 units 10 units 24 units 40 units
1393	MN		7	Operations and Algebraic Thinking	7.2.4.1	0.52	0	The equation 3j - 4k = 24 shows the relationship between j, Jean's age, and k, Katie's age. Jean is 12 years old. How old is Katie?	3 years	15 years	24 years	48 years		The equation 3j - 4k = 24 shows the relationship between j, Jean's age, and k, Katie's age. Jean is 12 years old. How old is Katie? 3 years 15 years 24 years 48 years
1394	MN		7	Operations and Algebraic Thinking	7.2.4.2	0.62	0	Biologists estimate deer populations by sampling a small area and using that information to estimate the entire population of a large area. They use the equation p = na to estimate p, the population of deer in a acres of land, where n is the number of deer per acre determined from sampling. A biologist determines that 1,800 deer populate an area of 150 acres. What value of n did the biologist find in the initial sampling of the population?	12	83	1650	270000		Biologists estimate deer populations by sampling a small area and using that information to estimate the entire population of a large area. They use the equation p = na to estimate p, the population of deer in a acres of land, where n is the number of deer per acre determined from sampling. A biologist determines that 1,800 deer populate an area of 150 acres. What value of n did the biologist find in the initial sampling of the population? 12 83 1650 270000
1395	MN		7	Operations and Algebraic Thinking	7.2.3.2	0.37	0	What is the value of the expression x(1/2)^x when x = 3 ?	3 / 8	1 1/2	3 1/8	3 3/8		What is the value of the expression x(1/2)^x when x = 3 ?  3 / 8 1 1/2 3 1/8 3 3/8
1396	MN		7	The Number System	7.1.2.1	0.43	0	What is the value of 2^3 - (3/4)^2  ?	5 7/16	6 9/16	7 7/16	8 9/16		What is the value of 2^3 - (3/4)^2  ? 5 7/16 6 9/16 7 7/16 8 9/16
1397	MN		7	The Number System	7.1.2.4	0.56	0	For a fundraiser, Hector walks 4 9/20 miles, Leon walks 5 12/25 miles, and Min walks 6 1/5 miles. What is the total distance Hector, Leon, and Min walk for the fundraiser?	15 11/50 miles	15 11/25 miles	16 13/100 miles	16 22/25 miles		For a fundraiser, Hector walks 4 9/20 miles, Leon walks 5 12/25 miles, and Min walks 6 1/5 miles. What is the total distance Hector, Leon, and Min walk for the fundraiser? 15 11/50 miles 15 11/25 miles 16 13/100 miles 16 22/25 miles
1398	MN		7	Operations and Algebraic Thinking	7.2.3.1	0.4	0	Which expression is equivalent to 2x + 6y - x + y?	2 + 7y	x + 7y	8xy	-2x^2 + 6y^2		Which expression is equivalent to 2x + 6y - x + y?  2 + 7y x + 7y 8xy -2x^2 + 6y^2
1399	MN		7	Operations and Algebraic Thinking	7.2.3.1	0.18	0	Which expression is equivalent to 1/7(7y) - y ?	0	1	6/7y	1y		Which expression is equivalent to 1/7(7y) - y ? 0 1 6/7y 1y
1400	MN		7	Measurement and Data	7.4.1.1	0.67	0	Robert is 11 years old. His brothers are 16, 14, and 8 years old. His 2 sisters, who are twins, are 18 years old. Robert's father is 45 years old, and his mother is 44 years old. What is the median age of Robert's family members?	13 years	15 years	16 years	17 years		Robert is 11 years old. His brothers are 16, 14, and 8 years old. His 2 sisters, who are twins, are 18 years old. Robert's father is 45 years old, and his mother is 44 years old. What is the median age of Robert's family members? 13 years 15 years 16 years 17 years
1401	MN		7	Operations and Algebraic Thinking	7.2.2.4	0.39	0	The number of students who had hot lunch was at least 18 more than 2/3 of the number of students who had bag lunch. Exactly 246 students had hot lunch. Which inequality can be used to determine x, the number of students who had bag lunch?	2/3x + 18 <= 246	2/3x + 18 >= 246	2/3(246) + 18 <= x	2/3(246) + 18 >= x		The number of students who had hot lunch was at least 18 more than 2/3 of the number of students who had bag lunch. Exactly 246 students had hot lunch. Which inequality can be used to determine x, the number of students who had bag lunch? 2/3x + 18 <= 246 2/3x + 18 >= 246 2/3(246) + 18 <= x 2/3(246) + 18 >= x
1442	MO		7				0	Lamar has a container filled with nickels that have a value of $51.45 . He has 4 other identical containers with nickels. Of the 4 other identical containers, 2 of them are full, 1 of them is 3/4 full, and 1 of them is 1/2 full. Lamar estimates that the total value of all 5 containers of nickels is approximately $250. Which statement best explains why Lamar's estimate is likely an overestimate or an underestimate?	Lamar's estimate is likely an underestimate because 5 x $51 = $255.	Lamar's estimate is likely an underestimate because it is likely that at least one of the other 2 full containers contains more than $51.45.	Lamar's estimate is likely an overestimate because he has just over 4 full containers, and 4 x $50 = $200.	Lamar's estimate is likely an overestimate because it is doubtful that the other full containers are worth exactly $51.45.		Lamar has a container filled with nickels that have a value of $51.45 . He has 4 other identical containers with nickels. Of the 4 other identical containers, 2 of them are full, 1 of them is 3/4 full, and 1 of them is 1/2 full. Lamar estimates that the total value of all 5 containers of nickels is approximately $250. Which statement best explains why Lamar's estimate is likely an overestimate or an underestimate? Lamar's estimate is likely an underestimate because 5 x $51 = $255. Lamar's estimate is likely an underestimate because it is likely that at least one of the other 2 full containers contains more than $51.45. Lamar's estimate is likely an overestimate because he has just over 4 full containers, and 4 x $50 = $200. Lamar's estimate is likely an overestimate because it is doubtful that the other full containers are worth exactly $51.45.
1443	MO		7				0	A recipe calls for 2 1/3 cups of flour. Jane needs to make only half of the recipe. Which expression could Jane use to calculate the number of cups of flour she needs?	2 1/3 + 1/2	2 1/3 - 1/2	2 1/3 x 1/2	2 1/3 ÷ 1/2		A recipe calls for 2 1/3 cups of flour. Jane needs to make only half of the recipe. Which expression could Jane use to calculate the number of cups of flour she needs? 2 1/3 + 1/2 2 1/3 - 1/2 2 1/3 x 1/2 2 1/3 ÷ 1/2
1444	MO		7				0	Which situation applies an additive inverse to find the total amount of money?	Dylan spent $5 and then found $5.	Dylan found $5 and then found $5 more.	Dylan spent $5 and then he gave $3 to a friend.	Dylan found $5 then kept the money in his pocket.		Which situation applies an additive inverse to find the total amount of money? Dylan spent $5 and then found $5. Dylan found $5 and then found $5 more. Dylan spent $5 and then he gave $3 to a friend. Dylan found $5 then kept the money in his pocket.
1445	MO		7				0	Linda ate 1/8 of a batch of cornbread. Peter ate some cornbread so that there is 2/3 of the batch remaining. What fraction of the batch of cornbread did Peter eat?	3 / 11	5 / 24	8 / 11	19 / 24		Linda ate 1/8 of a batch of cornbread. Peter ate some cornbread so that there is 2/3 of the batch remaining. What fraction of the batch of cornbread did Peter eat?  3 / 11  5 / 24  8 / 11  19 / 24
1446	MO		7				0	Louis went to a movie with $20.00. The ticket cost $9.50, and he spent $2.75 on snacks. How much money did Louis have left over?	7.75	8.75	11.25	12.25		Louis went to a movie with $20.00. The ticket cost $9.50, and he spent $2.75 on snacks. How much money did Louis have left over? 7.75 8.75 11.25 12.25
1447	MO		7				0	Chelsea buys a bag of apples. In the bag,  8/11 of the apples are green. Which number could also represent the portion of the apple is in the bag that are green?	0.72	0.722222	0.7272727273	1.375		Chelsea buys a bag of apples. In the bag,  8/11 of the apples are green. Which number could also represent the portion of the apple is in the bag that are green? 0.72 0.722222 0.72727272727272 1.375
1586	MS	2020.0	7	Expressions and Equations	7.EE.3		0	Joe’s mom gave him $40 for cutting their grass. He used the money to buy a $10.75  game and two snacks that cost $3.25 each. Joe also bought a bouquet of flowers for his mom. If Joe went home with of the money his mom gave him, how much did the flowers cost?	10	12.75	16	17.25		Joe’s mom gave him $40 for cutting their grass. He used the money to buy a $10.75  game and two snacks that cost $3.25 each. Joe also bought a bouquet of flowers for his mom. If Joe went home with of the money his mom gave him, how much did the flowers cost? 10 12.75 16 17.25
